
Connected to /dev/ttyUSB1 at 115200
starting LFSR program 

Cycle	LFSR 

-----   ---- 

0	 178 

1	 35 

2	 70 

3	 140 

4	 95 

5	 190 

6	 59 

7	 118 

8	 236 

9	 159 

10	 121 

11	 242 

12	 163 

13	 1 

14	 2 

15	 4 

16	 8 

17	 16 

18	 32 

19	 64 

20	 128 

21	 71 

22	 142 

23	 91 

24	 182 

25	 43 

26	 86 

27	 172 

28	 31 

29	 62 

30	 124 

31	 248 

32	 183 

33	 41 

34	 82 

35	 164 

36	 15 

37	 30 

38	 60 

39	 120 

40	 240 

41	 167 

42	 9 

43	 18 

44	 36 

45	 72 

46	 144 

47	 103 

48	 206 

49	 219 

50	 241 

51	 165 

52	 13 

53	 26 

54	 52 

55	 104 

56	 208 

57	 231 

58	 137 

59	 85 

60	 170 

61	 19 

62	 38 

63	 76 

64	 152 

65	 119 

66	 238 

67	 155 

68	 113 

69	 226 

70	 131 

71	 65 

72	 130 

73	 67 

74	 134 

75	 75 

76	 150 

77	 107 

78	 214 

79	 235 

80	 145 

81	 101 

82	 202 

83	 211 

84	 225 

85	 133 

86	 77 

87	 154 

88	 115 

89	 230 

90	 139 

91	 81 

92	 162 

93	 3 

94	 6 

95	 12 

96	 24 

97	 48 

98	 96 

99	 192 

100	 199 

101	 201 

102	 213 

103	 237 

104	 157 

105	 125 

106	 250 

107	 179 

108	 33 

109	 66 

110	 132 

111	 79 

112	 158 

113	 123 

114	 246 

115	 171 

116	 17 

117	 34 

118	 68 

119	 136 

120	 87 

121	 174 

122	 27 

123	 54 

124	 108 

125	 216 

126	 247 

127	 169 

128	 21 

129	 42 

130	 84 

131	 168 

132	 23 

133	 46 

134	 92 

135	 184 

136	 55 

137	 110 

138	 220 

139	 255 

140	 185 

141	 53 

142	 106 

143	 212 

144	 239 

145	 153 

146	 117 

147	 234 

148	 147 

149	 97 

150	 194 

151	 195 

152	 193 

153	 197 

154	 205 

155	 221 

156	 253 

157	 189 

158	 61 

159	 122 

160	 244 

161	 175 

162	 25 

163	 50 

164	 100 

165	 200 

166	 215 

167	 233 

168	 149 

169	 109 

170	 218 

171	 243 

172	 161 

173	 5 

174	 10 

175	 20 

176	 40 

177	 80 

178	 160 

179	 7 

180	 14 

181	 28 

182	 56 

183	 112 

184	 224 

185	 135 

186	 73 

187	 146 

188	 99 

189	 198 

190	 203 

191	 209 

192	 229 

193	 141 

194	 93 

195	 186 

196	 51 

197	 102 

198	 204 

199	 223 

200	 249 

201	 181 

202	 45 

203	 90 

204	 180 

205	 47 

206	 94 

207	 188 

208	 63 

209	 126 

210	 252 

211	 191 

212	 57 

213	 114 

214	 228 

215	 143 

216	 89 

217 	 178 

Reached initial LFSR value after 217 cycles. 




